supplier_id,supplier_name,contact_name,phone,email,address,is_active,
1001,Molina Inc,Morgan Jones,343.808.3187x0518,nancylindsey@hotmail.com,"259 Sara Dam Suite 735 Thomasside, IL 29554",FALSE,"{1001,""Molina Inc"",""Morgan Jones"",""343.808.3187x0518"",""nancylindsey@hotmail.com"",""259 Sara Dam Suite 735 Thomasside, IL 29554"",false},"
1002,Fernandez-Harrington,Taylor Rivera,(824)493-3368,ysanchez@gmail.com,"7440 Pamela Turnpike Apt. 667 West Brianberg, OK 04524",FALSE,"{1002,""Fernandez-Harrington"",""Taylor Rivera"",""(824)493-3368"",""ysanchez@gmail.com"",""7440 Pamela Turnpike Apt. 667 West Brianberg, OK 04524"",false},"
1003,Keller-Moreno,Angela Robinson,(267)687-6438x75351,chelsea05@cox-king.org,"0074 Fox Station South David, IL 51549",FALSE,"{1003,""Keller-Moreno"",""Angela Robinson"",""(267)687-6438x75351"",""chelsea05@cox-king.org"",""0074 Fox Station South David, IL 51549"",false},"
1004,"Richardson, Morris and Parsons",Robert Miller,789-823-6011,hsolis@byrd-hoover.com,"28419 Russell Drive Apt. 061 East Justinville, GA 69104",FALSE,"{1004,""Richardson, Morris and Parsons"",""Robert Miller"",""789-823-6011"",""hsolis@byrd-hoover.com"",""28419 Russell Drive Apt. 061 East Justinville, GA 69104"",false},"
1005,Randolph-Collins,Stacie Fields,001-691-416-4754x7256,shayes@lambert.com,"65083 Henderson Ridge West Bethanybury, WA 59634",TRUE,"{1005,""Randolph-Collins"",""Stacie Fields"",""001-691-416-4754x7256"",""shayes@lambert.com"",""65083 Henderson Ridge West Bethanybury, WA 59634"",true},"
1006,Smith-Wheeler,Amanda Brown,326-776-3108x85596,joshua21@yahoo.com,"4608 Holloway Canyon Apt. 869 Thomasborough, DE 94649",FALSE,"{1006,""Smith-Wheeler"",""Amanda Brown"",""326-776-3108x85596"",""joshua21@yahoo.com"",""4608 Holloway Canyon Apt. 869 Thomasborough, DE 94649"",false},"
1007,Moyer-Harris,Carol Chandler,801.589.7539x070,dustin08@yahoo.com,"384 Gordon Walk Apt. 390 Clarkeville, MD 02421",FALSE,"{1007,""Moyer-Harris"",""Carol Chandler"",""801.589.7539x070"",""dustin08@yahoo.com"",""384 Gordon Walk Apt. 390 Clarkeville, MD 02421"",false},"
1008,"Griffin, Obrien and Rivera",Barbara Benitez,9531048178,craigshelby@burton-sullivan.com,USCGC Rodriguez FPO AE 53460,FALSE,"{1008,""Griffin, Obrien and Rivera"",""Barbara Benitez"",""9531048178"",""craigshelby@burton-sullivan.com"",""USCGC Rodriguez FPO AE 53460"",false},"
1009,Flowers-Clark,Jonathan Burke,(040)373-6172,nathaniel86@gmail.com,"4953 Lori Common Apt. 446 Andrewchester, AL 17485",TRUE,"{1009,""Flowers-Clark"",""Jonathan Burke"",""(040)373-6172"",""nathaniel86@gmail.com"",""4953 Lori Common Apt. 446 Andrewchester, AL 17485"",true},"
1010,Blair Group,Travis Edwards,(222)411-5785x080,sharon78@west-warren.com,"614 Gallagher Knoll Elizabethfort, OR 53143",TRUE,"{1010,""Blair Group"",""Travis Edwards"",""(222)411-5785x080"",""sharon78@west-warren.com"",""614 Gallagher Knoll Elizabethfort, OR 53143"",true},"
